source_ward_id,source_state,source_lga,source_ward,inec_ward_code,confidence,reason,action
115,Adamawa,Mayo-Belwa,Bajama,AD-12-01,1.000,exact,loaded
116,Adamawa,Mayo-Belwa,Binyeri,AD-12-02,1.000,exact,loaded
117,Adamawa,Mayo-Belwa,Gang Fada,AD-12-03,1.000,exact,loaded
118,Adamawa,Mayo-Belwa,Gengle,AD-12-04,1.000,exact,loaded
119,Adamawa,Mayo-Belwa,Gorobi,AD-12-05,1.000,exact,loaded
120,Adamawa,Mayo-Belwa,Jereng,AD-12-08,1.000,exact,loaded
121,Adamawa,Mayo-Belwa,Mayo Farang,AD-12-07,1.000,exact,loaded
122,Adamawa,Mayo-Belwa,Mbilla,AD-12-06,1.000,exact,loaded
123,Adamawa,Mayo-Belwa,Ndikong,AD-12-09,1.000,exact,loaded
124,Adamawa,Mayo-Belwa,Ribadu,AD-12-10,1.000,exact,loaded
125,Adamawa,Mayo-Belwa,Tola,AD-12-11,1.000,exact,loaded
126,Adamawa,Mayo-Belwa,Yoffo,AD-12-12,1.000,exact,loaded
127,Adamawa,Michika,Bazza Margi,AD-13-01,1.000,exact,loaded
128,Adamawa,Michika,Futuless,AD-13-02,1.000,exact,loaded
129,Adamawa,Michika,Garta,AD-13-03,1.000,exact,loaded
130,Adamawa,Michika,Jigalambu,AD-13-04,1.000,exact,loaded
131,Adamawa,Michika,Madzi,AD-13-05,1.000,exact,loaded
132,Adamawa,Michika,Michika 1,AD-13-06,0.889,needs_review,skipped_low_confidence
133,Adamawa,Michika,Michika 2,AD-13-06,0.889,needs_review,skipped_low_confidence
134,Adamawa,Michika,Moda/Dlaka,AD-13-09,1.000,exact,loaded
135,Adamawa,Michika,Munkavachitta,AD-13-10,1.000,exact,loaded
136,Adamawa,Michika,Ninkisi/Wuro Ngiki,AD-13-08,1.000,exact,loaded
137,Adamawa,Michika,Sina Kamale,AD-13-11,1.000,exact,loaded
138,Adamawa,Michika,Tsukumu/Tilijo,AD-13-13,1.000,exact,loaded
139,Adamawa,Michika,Tumbara/Ngabili,AD-13-14,1.000,exact,loaded
140,Adamawa,Michika,Vih/Boka,AD-13-15,0.933,fuzzy,loaded
141,Adamawa,Michika,Wambilimi/Tili,AD-13-16,1.000,exact,loaded
142,Adamawa,Michika,Zah,AD-13-12,1.000,exact,loaded
143,Adamawa,Mubi North,Bahuli,AD-14-01,1.000,exact,loaded
144,Adamawa,Mubi North,Betso,AD-14-02,1.000,exact,loaded
145,Adamawa,Mubi North,Digil,AD-14-03,1.000,exact,loaded
146,Adamawa,Mubi North,Kolere,AD-14-04,1.000,exact,loaded
147,Adamawa,Mubi North,Lokuwa,AD-14-05,1.000,exact,loaded
148,Adamawa,Mubi North,Mayo Bani,AD-14-06,1.000,exact,loaded
149,Adamawa,Mubi North,Mijilu,AD-14-07,1.000,exact,loaded
150,Adamawa,Mubi North,Muchalla,AD-14-08,1.000,exact,loaded
151,Adamawa,Mubi North,Sabon Layi,AD-14-09,1.000,exact,loaded
152,Adamawa,Mubi North,Vimtim,AD-14-10,1.000,exact,loaded
153,Adamawa,Mubi North,Yelwa,AD-14-11,1.000,exact,loaded
154,Adamawa,Mubi South,Dirbishi,AD-15-01,1.000,exact,loaded
155,Adamawa,Mubi South,Duvu,AD-15-02,1.000,exact,loaded
156,Adamawa,Mubi South,Gella,AD-15-03,1.000,exact,loaded
157,Adamawa,Mubi South,Gude,AD-15-04,1.000,exact,loaded
158,Adamawa,Mubi South,Kwaja,AD-15-05,1.000,exact,loaded
159,Adamawa,Mubi South,Lamurde,AD-15-06,1.000,exact,loaded
160,Adamawa,Mubi South,Mugulbu,AD-15-08,1.000,exact,loaded
161,Adamawa,Mubi South,Mujara,AD-15-07,1.000,exact,loaded
162,Adamawa,Mubi South,Nassarawo,AD-15-09,1.000,exact,loaded
163,Adamawa,Mubi South,Nduku,AD-15-10,1.000,exact,loaded
164,Adamawa,Numan,Bare,AD-16-01,1.000,exact,loaded
165,Adamawa,Numan,Bwalki,AD-16-02,1.000,exact,loaded
166,Adamawa,Numan,Gamadiyo,AD-16-03,1.000,exact,loaded
167,Adamawa,Numan,Imburu,AD-16-04,1.000,exact,loaded
168,Adamawa,Numan,Kodomti,AD-16-05,1.000,exact,loaded
169,Adamawa,Numan,Numan 1,AD-16-06,0.857,needs_review,skipped_low_confidence
170,Adamawa,Numan,Numan 2,AD-16-06,0.857,needs_review,skipped_low_confidence
171,Adamawa,Numan,Numan 3,AD-16-08,0.941,fuzzy,loaded
172,Adamawa,Numan,Sabon Pegi,AD-16-09,1.000,exact,loaded
173,Adamawa,Numan,Vulpi,AD-16-10,1.000,exact,loaded
174,Adamawa,Shelleng,Bakta,AD-17-01,1.000,exact,loaded
175,Adamawa,Shelleng,Bodwai,AD-17-02,1.000,exact,loaded
176,Adamawa,Shelleng,Gundo,AD-17-03,1.000,exact,loaded
177,Adamawa,Shelleng,Gwapopolok,AD-17-04,1.000,exact,loaded
178,Adamawa,Shelleng,Jumbul,AD-17-05,1.000,exact,loaded
179,Adamawa,Shelleng,Ketembere,AD-17-06,1.000,exact,loaded
180,Adamawa,Shelleng,Kiri,AD-17-07,1.000,exact,loaded
181,Adamawa,Shelleng,Libbo,AD-17-08,1.000,exact,loaded
182,Adamawa,Shelleng,Shelleng,AD-17-09,1.000,exact,loaded
183,Adamawa,Shelleng,Talum,AD-17-10,1.000,exact,loaded
184,Adamawa,Song,Dirma,AD-18-01,1.000,exact,loaded
185,Adamawa,Song,Dumne,,0.444,no_ward,skipped_no_match
186,Adamawa,Song,Gudu Mboi,AD-18-03,1.000,exact,loaded
187,Adamawa,Song,Kilange Funa,AD-18-04,1.000,exact,loaded
188,Adamawa,Song,Kilange Hirna,AD-18-05,1.000,exact,loaded
189,Adamawa,Song,Sigire,AD-18-06,1.000,exact,loaded
190,Adamawa,Song,Song Gari,,0.667,no_ward,skipped_no_match
191,Adamawa,Song,Song Waje,AD-18-09,1.000,exact,loaded
192,Adamawa,Song,Suktu,AD-18-07,1.000,exact,loaded
193,Adamawa,Song,Waltandi,AD-18-10,1.000,exact,loaded
194,Adamawa,Song,Zumo,AD-18-11,1.000,exact,loaded
195,Adamawa,Toungo,Dawo 1,AD-19-01,0.833,needs_review,skipped_low_confidence
196,Adamawa,Toungo,Dawo 2,AD-19-01,0.833,needs_review,skipped_low_confidence
197,Adamawa,Toungo,Gumti,AD-19-03,1.000,exact,loaded
198,Adamawa,Toungo,Kiri 1,AD-19-04,0.833,needs_review,skipped_low_confidence
199,Adamawa,Toungo,Kiri 2,AD-19-04,0.833,needs_review,skipped_low_confidence
200,Adamawa,Toungo,Kogin Baba 1,AD-19-06,0.923,fuzzy,loaded
201,Adamawa,Toungo,Kogin Baba 2,AD-19-06,0.923,fuzzy,loaded
202,Adamawa,Toungo,Toungo 1,AD-19-08,0.875,needs_review,skipped_low_confidence
203,Adamawa,Toungo,Toungo 2,AD-19-08,0.875,needs_review,skipped_low_confidence
204,Adamawa,Toungo,Toungo 3,AD-19-08,0.875,needs_review,skipped_low_confidence
205,Adamawa,Yola North,Ajiya,AD-20-02,1.000,exact,loaded
206,Adamawa,Yola North,Alkalawa,AD-20-01,1.000,exact,loaded
207,Adamawa,Yola North,Doubeli,AD-20-03,1.000,exact,loaded
208,Adamawa,Yola North,Gwadabawa,AD-20-04,1.000,exact,loaded
209,Adamawa,Yola North,Jambutu,AD-20-05,1.000,exact,loaded
210,Adamawa,Yola North,Karewa,AD-20-06,1.000,exact,loaded
211,Adamawa,Yola North,Limawa,AD-20-07,1.000,exact,loaded
212,Adamawa,Yola North,Luggere,AD-20-08,1.000,exact,loaded
213,Adamawa,Yola North,Nassarawo,AD-20-09,1.000,exact,loaded
214,Adamawa,Yola North,Rumde,AD-20-10,1.000,exact,loaded
215,Adamawa,Yola North,Yelwa,AD-20-11,1.000,exact,loaded
216,Adamawa,Yola South,Adarawo,AD-21-01,1.000,exact,loaded
217,Adamawa,Yola South,Bako,AD-21-02,1.000,exact,loaded
218,Adamawa,Yola South,Bole Yolde Pate,AD-21-03,1.000,exact,loaded
219,Adamawa,Yola South,Makama A,AD-21-06,1.000,exact,loaded
220,Adamawa,Yola South,Makama B,AD-21-07,1.000,exact,loaded
221,Adamawa,Yola South,Mbamba,AD-21-08,1.000,exact,loaded
222,Adamawa,Yola South,Mbamoi,AD-21-09,1.000,exact,loaded
223,Adamawa,Yola South,Namtari,AD-21-04,1.000,exact,loaded
224,Adamawa,Yola South,Ngurore,AD-21-05,1.000,exact,loaded
225,Adamawa,Yola South,Toungo,AD-21-10,1.000,exact,loaded
226,Adamawa,Yola South,Yolde Kohi,AD-21-11,1.000,exact,loaded
227,Bauchi,Alkaleri,Alkaleri East,BA-01-01,0.762,needs_review,skipped_low_confidence
228,Bauchi,Alkaleri,Alkaleri West,BA-01-01,0.762,needs_review,skipped_low_confidence
229,Bauchi,Alkaleri,Birin Gigyara,BA-01-07,1.000,exact,loaded
230,Bauchi,Alkaleri,Dan,BA-01-06,1.000,exact,loaded
231,Bauchi,Alkaleri,Futuk East,,0.667,no_ward,skipped_no_match
232,Bauchi,Alkaleri,Futuk West,,0.667,no_ward,skipped_no_match
233,Bauchi,Alkaleri,Gar,BA-01-03,1.000,exact,loaded
234,Bauchi,Alkaleri,Gwana,,0.727,no_ward,skipped_no_match
235,Bauchi,Alkaleri,Gwaram A,BA-01-04,0.857,needs_review,skipped_low_confidence
236,Bauchi,Alkaleri,Gwaram B,BA-01-04,0.857,needs_review,skipped_low_confidence
237,Bauchi,Alkaleri,Kungibar,BA-01-06,0.800,needs_review,skipped_low_confidence
238,Bauchi,Alkaleri,Lim Kundak,,0.455,no_ward,skipped_no_match
239,Bauchi,Alkaleri,Maimadi,BA-01-05,1.000,exact,loaded
240,Bauchi,Alkaleri,Mansur,BA-01-11,1.000,exact,loaded
241,Bauchi,Alkaleri,Pali East,,0.615,no_ward,skipped_no_match
242,Bauchi,Alkaleri,Pali West,,0.615,no_ward,skipped_no_match
243,Bauchi,Alkaleri,Yalo 1,BA-01-10,0.800,needs_review,skipped_low_confidence
244,Bauchi,Alkaleri,Yalo 2,BA-01-10,0.800,needs_review,skipped_low_confidence
245,Bauchi,Alkaleri,Yuli,BA-01-08,1.000,exact,loaded
246,Bauchi,Bauchi,Birshi,BA-02-07,1.000,exact,loaded
247,Bauchi,Bauchi,Dan Amar A,,0.609,no_ward,skipped_no_match
248,Bauchi,Bauchi,Dan Amar B,,0.609,no_ward,skipped_no_match
249,Bauchi,Bauchi,Dan Dango,BA-02-06,1.000,exact,loaded
250,Bauchi,Bauchi,Dan Iya,BA-02-11,1.000,exact,loaded
251,Bauchi,Bauchi,Dan Kade,,0.571,no_ward,skipped_no_match
252,Bauchi,Bauchi,Dawaki,BA-02-12,1.000,exact,loaded
253,Bauchi,Bauchi,Galambi,BA-02-10,1.000,exact,loaded
254,Bauchi,Bauchi,Gwaskwaram,,0.714,no_ward,skipped_no_match
255,Bauchi,Bauchi,Hardo,,0.556,no_ward,skipped_no_match
256,Bauchi,Bauchi,Kangere,,0.545,no_ward,skipped_no_match
257,Bauchi,Bauchi,Kundun Durum,BA-02-08,1.000,exact,loaded
258,Bauchi,Bauchi,Liman Katagum,BA-02-04,0.788,needs_review,skipped_low_confidence
259,Bauchi,Bauchi,Makama A,,0.640,no_ward,skipped_no_match
260,Bauchi,Bauchi,Makama B,,0.640,no_ward,skipped_no_match
261,Bauchi,Bauchi,Miri,,0.533,no_ward,skipped_no_match
262,Bauchi,Bauchi,Mun Munsal,BA-02-05,1.000,exact,loaded
263,Bauchi,Bauchi,Tirwun,,0.476,no_ward,skipped_no_match
264,Bauchi,Bauchi,Yamrat,,0.571,no_ward,skipped_no_match
265,Bauchi,Bauchi,Zungur,BA-02-04,1.000,exact,loaded
266,Bauchi,Bogoro,Badagari,,0.375,no_ward,skipped_no_match
267,Bauchi,Bogoro,Bar,,0.400,no_ward,skipped_no_match
268,Bauchi,Bogoro,Bogoro,,0.000,ambiguous,skipped_no_match
269,Bauchi,Bogoro,Boi,BA-03-05,0.857,needs_review,skipped_low_confidence
270,Bauchi,Bogoro,Bugun,,0.308,no_ward,skipped_no_match
271,Bauchi,Bogoro,Dazara,,0.333,no_ward,skipped_no_match
272,Bauchi,Bogoro,Dutsen Lawan,,0.444,no_ward,skipped_no_match
273,Bauchi,Bogoro,Gambar,,0.333,no_ward,skipped_no_match
274,Bauchi,Bogoro,Gobbiya,,0.429,no_ward,skipped_no_match
275,Bauchi,Bogoro,Gyara,,0.364,no_ward,skipped_no_match
276,Bauchi,Bogoro,Lusa,,0.000,ambiguous,skipped_no_match
277,Bauchi,Bogoro,Mwari,,0.182,no_ward,skipped_no_match
278,Bauchi,Bogoro,Project,,0.400,no_ward,skipped_no_match
279,Bauchi,Damban,Dagauda,,0.000,no_lga,skipped_no_match
280,Bauchi,Damban,Dambam A,,0.000,no_lga,skipped_no_match
281,Bauchi,Damban,Dambam B,,0.000,no_lga,skipped_no_match
282,Bauchi,Damban,Fagam,,0.000,no_lga,skipped_no_match
283,Bauchi,Damban,Fagarau,,0.000,no_lga,skipped_no_match
284,Bauchi,Damban,Gargawa,,0.000,no_lga,skipped_no_match
285,Bauchi,Damban,Garuza,,0.000,no_lga,skipped_no_match
286,Bauchi,Damban,Guribana,,0.000,no_lga,skipped_no_match
287,Bauchi,Damban,Jalam,,0.000,no_lga,skipped_no_match
288,Bauchi,Damban,Janda,,0.000,no_lga,skipped_no_match
289,Bauchi,Damban,Minchika,,0.000,no_lga,skipped_no_match
290,Bauchi,Damban,Muzuwa,,0.000,no_lga,skipped_no_match
291,Bauchi,Damban,Yame,,0.000,no_lga,skipped_no_match
292,Bauchi,Damban,Yanda,,0.000,no_lga,skipped_no_match
293,Bauchi,Damban,Yayari,,0.000,no_lga,skipped_no_match
294,Bauchi,Damban,Zaura,,0.000,no_lga,skipped_no_match
295,Bauchi,Darazo,Darazo East,,0.706,no_ward,skipped_no_match
296,Bauchi,Darazo,Darazo West,,0.706,no_ward,skipped_no_match
297,Bauchi,Darazo,Gabarin East,,0.737,no_ward,skipped_no_match
298,Bauchi,Darazo,Gabarin West,,0.737,no_ward,skipped_no_match
299,Bauchi,Darazo,Gabchiyari,BA-05-09,1.000,exact,loaded
300,Bauchi,Darazo,Konkiyel,BA-05-04,1.000,exact,loaded
301,Bauchi,Darazo,Lago,BA-05-05,1.000,exact,loaded
302,Bauchi,Darazo,Lanzai East,,0.706,no_ward,skipped_no_match
303,Bauchi,Darazo,Lanzai West,,0.706,no_ward,skipped_no_match
304,Bauchi,Darazo,Papa North,,0.571,no_ward,skipped_no_match
305,Bauchi,Darazo,Papa South,,0.571,no_ward,skipped_no_match
306,Bauchi,Darazo,Sade East,,0.615,no_ward,skipped_no_match
307,Bauchi,Darazo,Sade West,,0.615,no_ward,skipped_no_match
308,Bauchi,Darazo,Tauya East,,0.667,no_ward,skipped_no_match
309,Bauchi,Darazo,Tauya West,,0.667,no_ward,skipped_no_match
310,Bauchi,Darazo,Wahu,BA-05-10,1.000,exact,loaded
311,Bauchi,Darazo,Yautare,BA-05-08,1.000,exact,loaded
312,Bauchi,Dass,Bagel,BA-06-01,1.000,exact,loaded
313,Bauchi,Dass,Baraza,BA-06-05,1.000,exact,loaded
314,Bauchi,Dass,Bundot,BA-06-02,1.000,exact,loaded
315,Bauchi,Dass,Bununu Central,BA-06-03,1.000,exact,loaded
316,Bauchi,Dass,Bununu East,BA-06-04,0.783,needs_review,skipped_low_confidence
317,Bauchi,Dass,Bununu South,BA-06-04,1.000,exact,loaded
318,Bauchi,Dass,Bununu West,BA-06-04,0.783,needs_review,skipped_low_confidence
319,Bauchi,Dass,Dott,,0.600,no_ward,skipped_no_match
320,Bauchi,Dass,Durr,BA-06-07,1.000,exact,loaded
321,Bauchi,Dass,Lukshi,,0.632,no_ward,skipped_no_match
322,Bauchi,Dass,Polchi,BA-06-08,1.000,exact,loaded
323,Bauchi,Dass,Wandi,BA-06-09,1.000,exact,loaded
324,Bauchi,Dass,Zumbul,BA-06-10,1.000,exact,loaded
325,Bauchi,Gamawa,Alagarno,BA-07-05,1.000,exact,loaded
326,Bauchi,Gamawa,Gadiya,BA-07-10,1.000,exact,loaded
327,Bauchi,Gamawa,Gamawa North,,0.667,no_ward,skipped_no_match
328,Bauchi,Gamawa,Gamawa South,,0.667,no_ward,skipped_no_match
329,Bauchi,Gamawa,Gololo North,,0.667,no_ward,skipped_no_match
330,Bauchi,Gamawa,Gololo South,,0.667,no_ward,skipped_no_match
331,Bauchi,Gamawa,Jadori,,0.571,no_ward,skipped_no_match
332,Bauchi,Gamawa,Kofan Romi,BA-07-02,1.000,exact,loaded
333,Bauchi,Gamawa,Kore,,0.286,no_ward,skipped_no_match
334,Bauchi,Gamawa,Kubdiya,BA-07-04,1.000,exact,loaded
335,Bauchi,Gamawa,Marana,,0.600,no_ward,skipped_no_match
336,Bauchi,Gamawa,Raga,BA-07-09,1.000,exact,loaded
337,Bauchi,Gamawa,Taranka,,0.625,no_ward,skipped_no_match
338,Bauchi,Gamawa,Tarmasuwa,BA-07-08,1.000,exact,loaded
339,Bauchi,Gamawa,Tumbi,BA-07-06,1.000,exact,loaded
340,Bauchi,Gamawa,Udubo Central,,0.556,no_ward,skipped_no_match
341,Bauchi,Gamawa,Udubo North East,,0.476,no_ward,skipped_no_match
342,Bauchi,Gamawa,Zindiwa,BA-07-11,1.000,exact,loaded
343,Bauchi,Ganjuwa,Ganjuwa A,BA-08-01,0.875,needs_review,skipped_low_confidence
344,Bauchi,Ganjuwa,Ganjuwa B,BA-08-01,0.875,needs_review,skipped_low_confidence
345,Bauchi,Ganjuwa,Gungura A,BA-08-02,0.875,needs_review,skipped_low_confidence
346,Bauchi,Ganjuwa,Gungura B,BA-08-02,0.875,needs_review,skipped_low_confidence
347,Bauchi,Ganjuwa,Kafin Madaki A,BA-08-03,0.923,fuzzy,loaded
348,Bauchi,Ganjuwa,Kafin Madaki B,BA-08-03,0.923,fuzzy,loaded
349,Bauchi,Ganjuwa,Kariya A,BA-08-04,0.857,needs_review,skipped_low_confidence
350,Bauchi,Ganjuwa,Kariya B,BA-08-04,0.857,needs_review,skipped_low_confidence
351,Bauchi,Ganjuwa,Kubi A,BA-08-05,0.800,needs_review,skipped_low_confidence
352,Bauchi,Ganjuwa,Kubi B,,0.667,no_ward,skipped_no_match
353,Bauchi,Ganjuwa,Miya A,BA-08-07,0.800,needs_review,skipped_low_confidence
354,Bauchi,Ganjuwa,Miya B,,0.667,no_ward,skipped_no_match
355,Bauchi,Ganjuwa,Miya C,,0.667,no_ward,skipped_no_match
356,Bauchi,Ganjuwa,Nassarawa A,BA-08-09,1.000,exact,loaded
357,Bauchi,Ganjuwa,Nassarawa B,BA-08-10,1.000,exact,loaded
